created_at,entry_id,field1,field2,field3
2023-04-16 06:33:31 UTC,3970,21.43000,69.93000,0.76827
2023-04-16 06:38:33 UTC,3971,21.42000,70.46000,0.75427
2023-04-16 06:43:34 UTC,3972,21.42000,70.39000,0.75605
2023-04-16 06:48:36 UTC,3973,21.42000,70.63000,0.74992
2023-04-16 06:53:38 UTC,3974,21.40000,71.24000,0.73345
2023-04-16 06:58:39 UTC,3975,21.42000,70.96000,0.74150
2023-04-16 07:03:41 UTC,3976,21.46000,70.24000,0.76175
2023-04-16 07:08:43 UTC,3977,21.45000,70.92000,0.74388
2023-04-16 07:13:44 UTC,3978,21.45000,71.33000,0.73340
2023-04-16 07:18:46 UTC,3979,21.46000,71.20000,0.73717
2023-04-16 07:23:48 UTC,3980,21.45000,70.82000,0.74644
2023-04-16 07:28:49 UTC,3981,21.47000,71.97000,0.71790
2023-04-16 07:33:51 UTC,3982,21.46000,71.20000,0.73717
2023-04-16 07:38:53 UTC,3983,21.45000,71.33000,0.73340
2023-04-16 07:43:54 UTC,3984,21.46000,71.18000,0.73769
2023-04-16 07:48:56 UTC,3985,21.47000,70.84000,0.74684
2023-04-16 07:53:58 UTC,3986,21.49000,71.33000,0.73519
2023-04-16 07:59:00 UTC,3987,21.47000,70.86000,0.74633
2023-04-16 08:04:01 UTC,3988,21.50000,70.55000,0.75566
2023-04-16 08:09:03 UTC,3989,21.49000,70.10000,0.76674
2023-04-16 08:14:05 UTC,3990,21.50000,70.05000,0.76849
2023-04-16 08:19:06 UTC,3991,21.50000,71.62000,0.72820
2023-04-16 08:24:08 UTC,3992,21.50000,70.01000,0.76951
2023-04-16 08:29:10 UTC,3993,21.51000,70.74000,0.75124
2023-04-16 08:34:11 UTC,3994,21.54000,70.20000,0.76651
2023-04-16 08:39:13 UTC,3995,21.53000,70.10000,0.76861
2023-04-16 08:44:15 UTC,3996,21.59000,71.31000,0.74022
2023-04-16 08:49:16 UTC,3997,21.60000,71.44000,0.73732
2023-04-16 08:54:18 UTC,3998,21.60000,72.57000,0.70815
2023-04-16 08:59:20 UTC,3999,21.57000,72.88000,0.69886
2023-04-16 09:04:21 UTC,4000,21.59000,72.02000,0.72190
2023-04-16 09:09:23 UTC,4001,21.59000,71.18000,0.74358
2023-04-16 09:14:25 UTC,4002,21.61000,71.77000,0.72925
2023-04-16 09:19:26 UTC,4003,21.59000,71.12000,0.74512
2023-04-16 09:24:28 UTC,4004,21.60000,71.91000,0.72518
2023-04-16 09:29:30 UTC,4005,21.61000,72.34000,0.71452
2023-04-16 09:34:31 UTC,4006,21.64000,72.39000,0.71454
2023-04-16 09:39:33 UTC,4007,21.60000,71.35000,0.73964
2023-04-16 09:44:35 UTC,4008,21.60000,72.79000,0.70247
2023-04-16 09:49:36 UTC,4009,21.63000,72.41000,0.71358
2023-04-16 09:54:38 UTC,4010,21.63000,71.88000,0.72729
2023-04-16 09:59:40 UTC,4011,21.64000,72.35000,0.71557
2023-04-16 10:04:41 UTC,4012,21.61000,72.25000,0.71685
2023-04-16 10:09:43 UTC,4013,21.64000,72.62000,0.70859
2023-04-16 10:14:45 UTC,4014,21.66000,71.62000,0.73536
2023-04-16 10:19:46 UTC,4015,21.67000,72.55000,0.71170
2023-04-16 10:24:48 UTC,4016,21.69000,72.85000,0.70478
2023-04-16 10:29:50 UTC,4017,21.69000,72.02000,0.72633
2023-04-16 10:34:51 UTC,4018,21.70000,72.69000,0.70937
2023-04-16 10:39:53 UTC,4019,21.71000,72.77000,0.70773
2023-04-16 10:44:55 UTC,4020,21.71000,74.57000,0.66094
2023-04-16 10:49:56 UTC,4021,21.76000,73.11000,0.70103
2023-04-16 10:54:58 UTC,4022,21.77000,71.96000,0.73145
2023-04-16 11:00:00 UTC,4023,21.80000,74.11000,0.67661
2023-04-16 11:05:01 UTC,4024,21.78000,72.96000,0.70580
2023-04-16 11:10:03 UTC,4025,21.78000,71.49000,0.74417
2023-04-16 11:15:05 UTC,4026,21.83000,72.81000,0.71188
2023-04-16 11:20:06 UTC,4027,21.84000,72.54000,0.71939
2023-04-16 11:25:08 UTC,4028,21.86000,72.47000,0.72211
2023-04-16 11:30:10 UTC,4029,21.87000,72.25000,0.72832
2023-04-16 11:35:11 UTC,4030,21.87000,73.10000,0.70601
2023-04-16 11:40:13 UTC,4031,21.90000,72.40000,0.72571
2023-04-16 11:45:15 UTC,4032,21.90000,73.20000,0.70468
2023-04-16 11:50:16 UTC,4033,21.93000,72.11000,0.73468
2023-04-16 11:55:18 UTC,4034,21.91000,72.03000,0.73589
2023-04-16 12:00:20 UTC,4035,21.94000,72.14000,0.73434
2023-04-16 12:05:21 UTC,4036,21.96000,71.10000,0.76268
2023-04-16 12:10:23 UTC,4037,21.98000,71.57000,0.75119
2023-04-16 12:15:25 UTC,4038,21.98000,70.84000,0.77048
2023-04-16 12:20:26 UTC,4039,22.02000,73.42000,0.70402
2023-04-16 12:25:28 UTC,4040,22.04000,71.40000,0.75845
2023-04-16 12:30:30 UTC,4041,22.04000,70.59000,0.77993
2023-04-16 12:35:31 UTC,4042,22.05000,71.97000,0.74379
2023-04-16 12:40:33 UTC,4043,22.05000,70.46000,0.78386
